t,id,color,x,y,yaw,handle_x,handle_y,confidence
1789539878.7886412,explore_waypoint_1.2_lat+0,explore,-1.7999999994987277,-3.4429271372624456e-13,0.0,nan,nan,1.0
1789539898.2999403,observed_blue_5p8_m1p8,blue,2.836972611634755,-0.8000000000003443,-1.5707963267948963,2.836972611634755,-1.9000000000003445,0.4428039789199829
1789539903.6645653,observed_blue_5p8_m1p8,blue,2.189415287491379,-0.8000000000003443,-1.5707963267948963,2.189415287491379,-1.9000000000003445,0.2861079275608063
1789539906.6183283,observed_blue_5p8_m1p8,blue,2.4483557872646053,-0.8000000000003443,-1.5707963267948963,2.4483557872646053,-1.9000000000003445,0.432019978761673
1789539911.9024928,observed_blue_5p8_m1p8,blue,2.798246700748589,-0.8000000000003443,-1.5707963267948963,2.798246700748589,-1.9000000000003445,0.38976529240608215
1789539916.952631,observed_blue_5p8_m1p8,blue,2.062755212421203,-0.8000000000003443,-1.5707963267948963,2.062755212421203,-1.9000000000003445,0.3485349416732788
1789539932.1766677,observed_blue_5p8_m1p8,blue,3.344652056119234,-0.8179703144366895,-1.5707963267948963,3.3446520561192337,-1.9179703144366897,0.6736454963684082
1789539938.668743,observed_blue_5p8_m1p8,blue,2.813513980511605,-0.8558684155347579,-1.5707963267948963,2.813513980511605,-1.955868415534758,0.24825844168663025
1789539941.9135273,observed_blue_5p8_m1p8,blue,3.3727683269027016,-0.8587611589868279,-1.5707963267948963,3.3727683269027016,-1.9587611589868281,1.0
1789540019.2426867,explore_waypoint_7.2_lat+26,explore,4.197768326902702,0.2572093919078739,0.0,nan,nan,1.0
1789540032.8693597,door_blue_1ffb88,blue,7.985103823993509,-0.8000000000003443,-1.5707963267948963,7.985103823993509,-1.9000000000003445,0.5796257257461548
1789540034.7603264,door_blue_1ffb88,blue,7.756635112899559,-0.8000000000003443,-1.5707963267948963,7.756635112899559,-1.9000000000003445,0.4877084493637085
1789540095.2917554,door_blue_1503d1,blue,9.162576165843355,-0.8000000000003443,-1.5707963267948963,9.162576165843355,-1.7181844525995804,1.0
1789540123.1060321,door_blue_1503d1,blue,9.162576165843355,-0.8000000000003443,-1.5707963267948963,9.162576165843355,-1.7181844525995804,1.0
1789540198.5904684,explore_waypoint_13.0_lat-65,explore,9.988445939347057,-0.6500000000003443,0.0,nan,nan,1.0
1789540199.4626317,door_blue_df7a1e,blue,11.840983463000107,0.7999999999996558,1.5707963267948963,11.840983463000107,1.8999999999996557,0.7362951040267944
1789540258.6150517,door_blue_df7a1e,blue,12.373987234763838,0.7999999999996558,1.5707963267948963,12.373987234763838,1.8999999999996557,0.7362951040267944
1789540285.880345,door_blue_df7a1e,blue,12.373987234763838,0.7999999999996558,1.5707963267948963,12.373987234763838,1.8999999999996557,0.7362951040267944
1789540386.4020412,explore_waypoint_16.3_lat-23,explore,13.27952160532793,-0.22911478723591466,0.0,nan,nan,1.0
1789540424.467532,explore_waypoint_16.5_lat+29,explore,13.54084876197057,0.2902323535783715,0.0,nan,nan,1.0
1789540465.5845594,explore_waypoint_16.8_lat-58,explore,13.775183371961278,-0.5798914608771035,0.0,nan,nan,1.0
1789540521.9455142,emergency_exit_pass_through,green,17.08661954171977,0.0027900749551959506,0.0,nan,nan,0.0
