t,id,color,x,y,handle_x,handle_y,confidence
1789539881.1584427,door_red_5d3986,red,-0.8342357134788534,1.3271983737300643,-0.834235715946106,1.32719837376087,0.31209784746170044
1789539882.0531836,door_red_5d3986,red,-0.5902466604481269,1.4233689139097816,-0.5902466599314207,1.4233689139517287,0.4160110354423523
1789539883.2231655,door_blue_5e0bb5,blue,2.314487569062562,-1.7001984809460373,2.3144875699039646,-1.7001984809646018,0.40258240699768066
1789539884.7607765,door_blue_5e0bb5,blue,2.1904588549001476,-1.6680663281636012,2.190458855787756,-1.6680663281836323,0.3764260709285736
1789539885.1307924,door_red_b70777,red,-0.8302705431441495,1.3506574508593712,-0.8302705422600265,1.3506574508394327,0.29557445645332336
1789539885.6595812,door_blue_5e0bb5,blue,2.154423604508749,-1.6507143088287084,2.154423605392872,-1.650714308848647,0.3954990804195404
1789539886.573592,door_red_b70777,red,-0.6919795124058563,1.3387415874392337,-0.6919795115189931,1.3387415874192579,0.3205542266368866
1789539886.850108,door_blue_5e0bb5,blue,2.829691350158056,-1.854825075811579,2.829691351044919,-1.8548250758315548,0.3743368685245514
1789539888.2895198,door_red_b70777,red,-0.5900115487971307,1.3539853570707583,-0.5899657717550337,1.3539843270075105,0.39953652024269104
1789539888.6319861,door_blue_f2b145,blue,2.989710868023144,-1.9268858306500856,2.9897510436027166,-1.926886734670657,0.2827014923095703
1789539889.4424522,door_red_b70777,red,-0.5883948943673012,1.3433794498379719,-0.5883941847474201,1.343379433063153,0.5104941129684448
1789539889.908477,door_blue_f2b145,blue,2.954218252234068,-1.9126916296410366,2.954218961853949,-1.9126916464158554,0.3944268822669983
1789539891.3904474,door_red_615eda,red,-0.26596852996044396,1.9541315668861805,-0.2659685280340134,1.9541315663988024,0.6284157633781433
1789539892.7539003,door_red_2f923c,red,-0.21506744397389066,1.9244213299941362,-0.21506744327981142,1.924421329601454,0.7315459847450256
1789539893.0632386,door_blue_8b6125,blue,3.407542860197662,-1.9509577688367663,3.4075428608917413,-1.9509577692294484,0.4428039789199829
1789539894.245169,door_red_404375,red,-0.31705382261344095,1.9127980215812395,-0.3170538220108601,1.9127980209203153,0.8588516116142273
1789539894.8066554,door_blue_1b0ddf,blue,2.002108777764881,-1.407464168432498,2.002108778361951,-1.4074641690879255,0.3748207688331604
1789539895.4448643,door_red_404375,red,-0.6125254262162791,1.3910326353959979,-0.6125254258849966,1.391032634680446,0.5355421304702759
1789539895.5899475,door_blue_df7a1e,blue,1.7215476376829306,-1.407056608944676,1.7215476380142132,-1.407056609660228,0.3220919370651245
1789539897.0709076,door_red_404375,red,-0.6132036604904207,1.3919363083382834,-0.6132036599034048,1.391936307471616,0.556288480758667
1789539897.3099868,door_blue_df7a1e,blue,1.651865105256416,-1.3915905794942445,1.6518651058434317,-1.3915905803609119,0.2866918742656708
1789539898.5671816,door_red_404375,red,-0.6132036604904207,1.3919363083382834,-0.6132036599034048,1.391936307471616,0.5573145747184753
1789539898.663409,door_blue_df7a1e,blue,1.651865105256416,-1.3915905794942445,1.6518651058434317,-1.3915905803609119,0.28691565990448
1789539900.0972211,door_red_404375,red,-0.6122981650558346,1.390798867849165,-0.6122981645486971,1.3907988670430507,0.5395814776420593
1789539900.3279417,door_blue_df7a1e,blue,1.6879371070833589,-1.3950728242856425,1.6879371075904963,-1.3950728250917568,0.2686977684497833
1789539901.947303,door_red_fa8e43,red,-0.7766287355562966,1.4464160150393806,-0.7766287350320542,1.4464160143647955,0.7479126453399658
1789539903.3511434,door_red_2f923c,red,-0.6705608238836733,1.498788138438557,-0.6705608255822797,1.4987881398927985,0.7704132795333862
1789539903.6591377,door_blue_1b0ddf,blue,2.1894152891899856,-1.5028055438502077,2.189415287491379,-1.5028055423959663,0.2861079275608063
1789539904.610484,door_blue_8b6125,blue,2.379121978391226,-1.5985638213623685,2.379121666708189,-1.598563599768374,0.378702849149704
1789539904.9227092,door_red_2f923c,red,-0.5934306888408927,1.471536737786748,-0.5934308807012956,1.471536871453036,0.7623095512390137
1789539905.6489642,door_blue_8b6125,blue,2.3918861792559203,-1.599548750340686,2.391886225021176,-1.5995488042369557,0.4908878803253174
1789539906.230129,door_red_2f923c,red,-0.1259631137490933,2.0264015928335017,-0.1259865215926137,2.0264110652236034,0.6895657777786255
1789539906.6169162,door_blue_8b6125,blue,2.4483602492156633,-1.6664740895171044,2.448355787264606,-1.6664723672873127,0.432019978761673
1789539907.6172192,door_blue_8b6125,blue,2.4882173917434622,-1.6752216635474386,2.4882173620422625,-1.6752216537276432,0.5031421780586243
1789539908.0050995,door_red_2f923c,red,-0.18478277744078553,1.9197938371492198,-0.18478278292724326,1.9197938387359483,0.5145678520202637
1789539908.5980866,door_blue_5e0bb5,blue,2.4892951585447474,-1.6891188468570701,2.4892951591400454,-1.6891188471415512,0.46087589859962463
1789539909.476815,door_red_2f923c,red,-0.15567579125314435,1.9601747909115605,-0.15567579042141255,1.96017479070319,0.6572383642196655
1789539909.6771955,door_blue_5e0bb5,blue,2.4660209132917688,-1.6763933780692881,2.4660209141235008,-1.6763933782776588,0.45654135942459106
1789539911.0702085,door_red_2f923c,red,-0.13784844698556142,1.9454993485594243,-0.13784844611159697,1.945499348374541,0.795041024684906
1789539911.8935056,door_blue_5e0bb5,blue,2.798246699872686,-1.8530485605710456,2.7982467007485896,-1.8530485606399085,0.38976529240608215
1789539912.4693215,door_red_2f923c,red,-0.1450278418233164,1.9098504753037464,-0.14502784092553966,1.9098504750982823,0.6851276159286499
1789539912.9167132,door_blue_f2b145,blue,2.9342344371391507,-1.928775952549732,2.934234438033187,-1.9287759527208217,0.4219193160533905
1789539913.7489154,door_blue_f2b145,blue,2.915230056721526,-1.894334234685873,2.9152300576072308,-1.8943342347230925,0.4424944818019867
1789539914.041944,door_red_2f923c,red,-0.17443444552113962,1.889255176556327,-0.1744344446360847,1.8892551765211703,0.591288685798645
1789539914.764727,door_blue_928f7f,blue,2.8281060224600685,-1.8795372464037152,2.8281060233440476,-1.8795372464387614,0.5214620232582092
1789539915.755775,door_red_2f923c,red,-0.17796589104249938,1.9164100803398432,-0.1779661697500135,1.91641008680234,0.3013206720352173
1789539916.9485373,door_blue_928f7f,blue,2.062769795361443,-1.5545744654701097,2.062755212421203,-1.5545755303238176,0.3485349416732788
1789539917.2611997,door_red_2f923c,red,-0.16539335049117176,1.897856471210419,-0.16540716816909518,1.8978551467918867,0.5303654670715332
1789539918.7655435,door_red_2f923c,red,-0.15906382013330353,1.835630017602771,-0.015210070939990883,1.9094002872488147,0.22992871701717377
1789539920.200314,door_red_2f923c,red,-0.1944291085558943,1.8437248797110408,-0.19442749286411914,1.8437250523745181,0.21624408662319183
1789539921.5238285,door_blue_928f7f,blue,2.0965243486624727,-1.5316974860638402,2.0965239981237724,-1.5316974933595207,0.34034696221351624
1789539921.763912,door_red_404375,red,-0.2454795572990337,1.9055120676820165,-0.24547962445157562,1.9055120685801483,0.22911418974399567
1789539922.7133033,door_blue_928f7f,blue,2.0692706069514544,-1.512203497753094,2.0692683781671115,-1.5122035195317831,0.6046524047851562
1789539922.7969813,door_red_33f977,red,5.963964231556609,1.9149866125310462,5.963962002772266,1.914986590752357,0.21379640698432922
1789539923.3891308,door_red_404375,red,-0.24689106720338994,1.8338103345229595,0.2855990133306705,1.9706863034280027,1.0
1789539923.581879,door_blue_928f7f,blue,2.1103820262142308,-1.520199165500056,2.110374335541254,-1.520199316391092,0.30293646454811096
1789539924.7131531,door_red_33f977,red,5.919221372726999,1.9108884537075361,5.919221364107013,1.9108884534949133,0.4476679563522339
1789539925.0189188,door_red_404375,red,-0.1686187994386456,1.8134527819191963,-0.1686188051191188,1.8134527817520771,1.0
1789539925.7927763,door_red_f5b20a,red,5.698973163180393,1.8501481699374858,5.698973164051027,1.8501481698911553,0.31427425146102905
1789539926.4361267,door_red_404375,red,0.0373275791755861,1.824206032451923,0.03732758006934456,1.8242060324564593,1.0
1789539926.82498,door_red_f5b20a,red,5.929805146862751,1.9253509201287078,5.929805147739936,1.9253509202454517,0.3408561050891876
1789539927.715205,door_blue_be9d66,blue,2.1511919664807824,-1.4447881491561456,2.151191967367363,-1.4447881491898313,0.7227081060409546
1789539927.7950866,door_red_f5b20a,red,4.683867816904796,1.4230590334212847,4.683867817791375,1.423059033387599,0.39280030131340027
1789539928.9377375,door_red_f5b20a,red,4.636051436273726,1.3758341613922704,4.636051437167332,1.3758341612540208,0.2512070834636688
1789539929.8910382,door_red_f5b20a,red,4.4366124681626955,1.2719048309715402,4.436612469037715,1.2719048309398746,0.21873879432678223
1789539932.1695006,door_blue_928f7f,blue,2.9154566435002405,-1.9494708622386536,3.3446520561192337,-1.9179703144366897,0.6736454963684082
1789539932.8488984,door_red_d7e6e2,red,6.151794188066704,1.9455017827971364,6.1517941889221035,1.9455017826549892,0.6141069531440735
1789539933.059371,door_blue_928f7f,blue,2.8847066928515046,-1.9235186793563595,3.2841575763465207,-1.904784269117577,0.7542605400085449
1789539934.0384302,door_blue_928f7f,blue,2.872563961856473,-1.904652615641377,3.302427306599012,-1.8950899054943495,0.46670839190483093
1789539934.3852696,door_red_d7e6e2,red,6.148042845693118,1.975600296740848,6.148042846517343,1.9756002965108341,0.27795374393463135
1789539935.7928813,door_red_d7e6e2,red,6.190387189727347,2.0152721155945894,6.190387190587668,2.0152721152022535,0.5991191267967224
1789539936.1589887,door_blue_be9d66,blue,2.9212998006355377,-1.8652786415160687,3.252521765419173,-1.8854497802559709,1.0
1789539937.1102283,door_blue_be9d66,blue,3.0544622441690388,-1.9313970061560728,3.2461247428912547,-1.8983239300930916,1.0
1789539937.4465609,door_red_d7e6e2,red,6.159182808469356,1.9959820554212495,6.159182809324137,1.995982055156499,0.6701656579971313
1789539938.3397582,door_blue_be9d66,blue,3.1228772991669596,-1.890575689888919,3.2212866928820554,-1.8709451854726518,1.0
1789539938.6606808,door_blue_11b878,blue,2.8135139796717397,-1.955868415282484,2.8135139805116056,-1.955868415534758,0.24825844168663025
1789539939.0632792,door_red_d7e6e2,red,6.22529909498732,2.0191955414695295,6.225299095838326,2.019195541223955,0.6598023176193237
1789539939.2923038,door_blue_f2b145,blue,5.04921672030423,-3.6408690566021247,5.0492167211563945,-3.6408690568458653,0.41914063692092896
1789539940.439748,door_blue_11b878,blue,2.9229232846527724,-1.974656040980991,2.9229232855293374,-1.9746560411427212,1.0
1789539940.9902573,door_red_d7e6e2,red,6.1762087288197804,1.9868731599233165,6.176208729695386,1.9868731597644635,0.4660439193248749
1789539941.9023979,door_blue_58019a,blue,3.217887697042893,-2.4872205075266,3.3727683269027016,-1.9587611589868281,1.0
1789539942.509019,door_red_d7e6e2,red,6.062022831107928,1.949683633594132,6.062022831984427,1.949683633458685,0.2505015730857849
1789539944.1522858,door_red_d7e6e2,red,6.038686129173061,1.9364555805901178,6.038676808899286,1.9364574814488935,0.48575669527053833
1789539944.980882,door_blue_d2c48d,blue,3.016462724413964,-2.758928488537001,3.417719293105297,-1.9690350945067707,1.0
1789539945.7455933,door_red_d7e6e2,red,6.123457919412287,1.9924108797938032,6.123457917998655,1.99241087989336,0.537579357624054
1789539947.3885188,door_red_d7e6e2,red,6.096392424442403,1.998445808476197,6.096392425335619,1.9984458084003345,0.6550977826118469
1789539948.493777,door_blue_292b52,blue,3.009103847026916,-2.8371361919266187,3.0091029414376176,-2.83713620388246,1.0
1789539949.1009712,door_red_d7e6e2,red,6.040827499062992,1.9412766175099474,6.040826782593454,1.9412766080515058,0.6499382853507996
1789539949.741083,door_blue_292b52,blue,2.981361799004528,-2.827753099124497,2.981356128802143,-2.8277530343404047,1.0
1789539950.4355712,door_red_d7e6e2,red,6.065286802647963,1.9594588396454196,6.065286600654937,1.95945885032542,0.47760486602783203
1789539951.2890851,door_blue_292b52,blue,2.889889433356126,-2.801258163418954,2.889889432909929,-2.8012581633435114,1.0
1789539952.0613883,door_red_615eda,red,5.995451059841349,1.9665603887926921,5.995451060670041,1.9665603886902163,0.4933341145515442
1789539952.8815234,door_blue_292b52,blue,2.781275224474517,-2.763547937014439,2.781274510826368,-2.763547762740964,1.0
1789539953.543754,door_red_615eda,red,5.946953503043299,1.9594404641791856,5.94695347485842,1.959440472938462,0.6887959837913513
1789539954.9856637,door_red_2f923c,red,5.8913148701890465,1.9649764361926123,5.891314870971949,1.9649764358272632,0.5615772008895874
1789539955.9773538,door_blue_d2c48d,blue,2.615964374398274,-2.692398278575122,3.2887372216333723,-2.7877505770518027,1.0
1789539956.6814623,door_red_2f923c,red,5.82917134571155,1.9471344836515092,5.82917134644218,1.9471344831791804,0.6160072684288025
1789539957.549192,door_blue_58019a,blue,2.7699431112680766,-2.731408841619276,3.319650520825367,-2.0945127884956873,1.0
1789539958.109557,door_red_2f923c,red,5.76832412730501,1.9280265039716697,5.768324127958401,1.9280265034059823,0.5520511269569397
1789539959.815955,door_red_404375,red,5.768272317616393,1.9583824427134502,5.76827231820498,1.9583824420586962,0.7317343354225159
1789539961.3849266,door_blue_f2b145,blue,3.452192829409248,-5.461690455957525,3.4521928298902242,-5.461690456681739,0.3990885317325592
1789539962.2657425,door_blue_11b878,blue,2.5537816407652816,-2.663370832858287,2.55378164118617,-2.6633708336204855,1.0
1789539962.4528878,door_blue_f2b145,blue,3.2889956146749753,-5.466896184538137,3.2889956150958635,-5.466896185300335,0.7486979365348816
1789539963.558302,door_blue_f2b145,blue,3.035658749097575,-5.417495395682768,3.0356587494295386,-5.417495396491839,1.0
1789539963.8527963,door_blue_11b878,blue,2.4434631826891673,-2.614202794494477,2.4434631829973394,-2.6142027953143674,1.0
1789539964.4626412,door_blue_be9d66,blue,3.0719644251750275,-2.776012290958131,3.071964425441131,-2.776012291800734,1.0
1789539965.3077328,door_blue_11b878,blue,2.333466050206202,-2.552681057947421,2.333466050482981,-2.552681058837328,1.0
1789539965.4930277,door_blue_be9d66,blue,2.9882431115396475,-2.765438863270238,2.9882431118164265,-2.765438864160145,1.0
1789539966.6047413,door_blue_ca1398,blue,2.9318891081553056,-2.7555148083676313,2.93188910842106,-2.7555148092708266,1.0
1789539966.8821547,door_blue_11b878,blue,2.286400482688878,-2.5221278991829514,2.2864004829546327,-2.5221279000861463,1.0
1789539967.5996552,door_blue_ca1398,blue,2.9318891081553056,-2.7555148083676313,2.93188910842106,-2.7555148092708266,1.0
1789539968.6168447,door_blue_11b878,blue,2.286400482688878,-2.5221278991829514,2.2864004829546327,-2.5221279000861463,1.0
1789539968.8132846,door_blue_ca1398,blue,2.9318891081553056,-2.7555148083676313,2.93188910842106,-2.7555148092708266,1.0
1789539970.0756748,door_blue_11b878,blue,2.286400482688878,-2.522127899182951,2.2864004829546327,-2.5221279000861463,1.0
1789539970.3592515,door_blue_ca1398,blue,2.9318891081553056,-2.7555148083676313,2.93188910842106,-2.7555148092708266,1.0
1789539971.4353092,door_blue_ca1398,blue,2.9318891081553056,-2.7555148083676313,2.93188910842106,-2.7555148092708266,1.0
1789539971.6355708,door_blue_11b878,blue,2.286400482688878,-2.522127899182951,2.2864004829546327,-2.5221279000861463,1.0
1789539972.371211,door_blue_ca1398,blue,2.9318891081553056,-2.7555148083676313,2.93188910842106,-2.7555148092708266,1.0
1789539973.4459538,door_blue_11b878,blue,2.286400482688878,-2.5221278991829514,2.2864004829546327,-2.5221279000861463,1.0
1789539973.766012,door_blue_ca1398,blue,2.9318891081553056,-2.7555148083676313,2.93188910842106,-2.7555148092708266,1.0
1789539975.2955074,door_blue_ca1398,blue,2.9318891081553056,-2.7555148083676313,2.93188910842106,-2.7555148092708266,1.0
1789539975.7981892,door_blue_11b878,blue,2.286400482688878,-2.5221278991829514,2.2864004829546327,-2.5221279000861463,1.0
1789539976.5003135,door_blue_ca1398,blue,2.9318891081553056,-2.7555148083676313,2.93188910842106,-2.7555148092708266,1.0
1789539977.506442,door_blue_ca1398,blue,2.9318891081553056,-2.7555148083676313,2.93188910842106,-2.7555148092708266,1.0
1789539977.7435703,door_blue_11b878,blue,2.286400482688878,-2.5221278991829514,2.2864004829546327,-2.5221279000861463,1.0
1789539978.9498107,door_blue_be9d66,blue,2.950021503510376,-2.063574608640008,3.1308358252131776,-2.1467041230501347,1.0
1789539979.8627594,door_blue_11b878,blue,2.2916889787312518,-2.5251720243558085,2.2916889789970063,-2.5251720252590037,1.0
1789539980.3254678,door_blue_be9d66,blue,2.797358047406013,-2.1676529636878037,2.912878963987893,-2.1895248479494933,1.0
1789539981.1831088,door_blue_11b878,blue,2.3527583486319585,-2.3959117092739914,2.352758348897713,-2.3959117101771863,1.0
1789539995.5071297,door_red_404375,red,5.055831613712204,1.1864520107941186,5.055831614175075,1.186452010123023,0.6202161312103271
1789539997.0452414,door_red_2f923c,red,5.966311098520732,2.0955991382117696,5.966311099193825,2.0955991377433776,0.6465775370597839
1789539997.760351,door_blue_292b52,blue,1.9809137600659168,-2.3114175138177413,1.9809137607908416,-2.3114175141989093,1.0
1789539998.6690624,door_red_af84ed,red,6.0872480635289,2.1225677003352432,6.0872480643363485,2.1225677000783505,0.7325869202613831
1789540000.376427,door_red_d7e6e2,red,6.192640248884517,2.0656563325568835,6.192640249780464,2.0656563325630874,0.42700329422950745
1789540002.724943,door_red_5d3986,red,5.3022194562470935,1.2788994913224525,5.302219457046731,1.2788994916140028,0.6212910413742065
1789540003.6762683,door_red_f9c2b9,red,5.992977681778553,1.9478025699713326,5.992977682496738,1.9478025703828372,0.7134547829627991
1789540004.6096487,door_red_70063d,red,6.0419242038411545,1.9270233414837967,6.041924204424419,1.9270233420228065,0.6205406188964844
1789540005.4390848,door_red_404375,red,0.16706644683213678,1.4591438448827896,0.16706644745033872,1.4591438455711252,0.2671271562576294
